version,2.2.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2024/25
info,date,2025/03/21
info,event,Pakistan tour of New Zealand
info,match_number,3
info,venue,"Eden Park, Auckland"
info,city,Auckland
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,Hassan Nawaz
info,umpire,SJ Nogajski
info,umpire,SB Haig
info,reserve_umpire,WR Knights
info,tv_umpire,CM Brown
info,match_referee,JJ Crowe
info,winner,Pakistan
info,winner_wickets,9
info,player,New Zealand,TL Seifert
info,player,New Zealand,FH Allen
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Hay
info,player,New Zealand,MG Bracewell
info,player,New Zealand,KA Jamieson
info,player,New Zealand,IS Sodhi
info,player,New Zealand,JA Duffy
info,player,New Zealand,BV Sears
info,player,Pakistan,Mohammad Haris
info,player,Pakistan,Hassan Nawaz
info,player,Pakistan,Agha Salman
info,player,Pakistan,Irfan Khan
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Abdul Samad
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Abbas Afridi
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Abrar Ahmed
info,registry,people,Abbas Afridi,2cec2a92
info,registry,people,Abdul Samad,8e554b6b
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Agha Salman,89c16049
info,registry,people,BV Sears,e1891e00
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hassan Nawaz,26a8b2fe
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Irfan Khan,ee95065d
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,KA Jamieson,68c56d09
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,SB Haig,811655b3
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TL Seifert,4663bd23
info,registry,people,WR Knights,63cbf8d8
