version,2.2.0
info,balls_per_over,6
info,team,Australia
info,team,New Zealand
info,gender,female
info,season,2024/25
info,date,2025/03/26
info,event,Australia Women tour of New Zealand
info,match_number,3
info,venue,"Sky Stadium, Wellington"
info,city,Wellington
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,G Voll
info,umpire,CM Brown
info,umpire,Kim Cotton
info,reserve_umpire,T Semmens
info,tv_umpire,C Black
info,match_referee,RE Hayward
info,winner,Australia
info,winner_runs,8
info,player,Australia,BL Mooney
info,player,Australia,G Voll
info,player,Australia,P Litchfield
info,player,Australia,EA Perry
info,player,Australia,A Sutherland
info,player,Australia,TM McGrath
info,player,Australia,GM Harris
info,player,Australia,G Wareham
info,player,Australia,A King
info,player,Australia,KJ Garth
info,player,Australia,ML Schutt
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,IR James
info,player,New Zealand,SFM Devine
info,player,New Zealand,ML Green
info,player,New Zealand,JM Kerr
info,player,New Zealand,PM Inglis
info,player,New Zealand,RA Mair
info,player,New Zealand,EJ Carson
info,player,New Zealand,BM Halliday
info,registry,people,A King,83558266
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AC Kerr,7673c908
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,C Black,75b42f71
info,registry,people,CM Brown,448f4f1c
info,registry,people,EA Perry,be150fc8
info,registry,people,EJ Carson,7693851c
info,registry,people,G Voll,5c30d455
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GE Plimmer,575494db
info,registry,people,GM Harris,72166006
info,registry,people,IR James,57bdbc16
info,registry,people,JM Kerr,9af58032
info,registry,people,KJ Garth,0b69a844
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,ML Green,865eae1f
info,registry,people,ML Schutt,17608a6f
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,PM Inglis,e4a71d18
info,registry,people,RA Mair,d5eb8b84
info,registry,people,RE Hayward,57689d0b
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,T Semmens,3b471aa4
info,registry,people,TM McGrath,ca5acfa4
